0.01,0.01,0.4148649999771314,0.013524904230989272
0.01,0.1,0.007258395820861729,0.003255129457841195
0.01,1,0.005076780969297237,0.003483667534574191
0.01,10,0.002377748841345078,0.00165021524957673
0.01,100,0.0041664388710133254,0.002554207476705325
0.1,0.01,0.48970453300193256,0.01432740299269258
0.1,0.1,0.43063100819632555,0.02370213886526194
0.1,1,0.005519237130727289,0.0052639021613640246
0.1,10,0.0023924850527450915,0.0015730787918761058
0.1,100,0.004682463859133338,0.0023231819265707703
1,0.01,0.5716316560065825,0.007675596803615658
1,0.1,0.4948549527307042,0.01447745762390991
1,1,0.43239935250745054,0.0004898449213457076
1,10,0.0029689530949121336,0.0012524888423348646
1,100,0.0027353372326931534,0.0010168450091003604
10,0.01,0.7291217607100111,0.06759381278795792
10,0.1,0.5689662722178676,0.011941880769968948
10,1,0.4863120704634743,0.02413123953894452
10,10,0.43089466392699266,0.0004235857313350111
10,100,0.0018801765400188318,0.0013016915084951956
100,0.01,0.820545985883608,0.13489451196700697
100,0.1,0.5969628488342651,0.08612481356263017
100,1,0.5441178897686317,0.0013303454041268428
100,10,0.43802243628520343,0.014223185454003685
100,100,0.42851491685748105,0.0008051173094044987
